,author,published_at,updated_at,like_count,text
56,MFG123,2023-05-19T10:28:20Z,2023-05-19T10:28:20Z,1,Climate change is caused by cycles of solar activity not human activity. Greedy profiteers want you to think otherwise so they can get richer.
57,likeAjedi,2023-05-14T11:41:11Z,2023-05-14T11:41:11Z,0,"Chemtrails is cloud seeding now well documented weather manipulation using harmful dry ice, hygroscopic flares and silver iodine. The CSIRO and militaries toxic secrets raise red flags over everything the public has fully known about this topic now... Environmental &quot;control&quot; of people has crossed over this era has blurred the lines of truth imo"
58,Jared Toh,2023-05-13T11:20:55Z,2023-05-13T11:20:55Z,14,"People tend to only show concern when major events or personal circumstances affect them. As humans, we often prioritize our own interests and fail to extend the same level of care and concern to others. This raises the question: why is it so hard to care for others? Perhaps it&#39;s because there&#39;s no monetary reward for doing so. However, if we want to make the world a better place, we need to start caring more. Though it may be challenging, it&#39;s important to start taking action now. After all, if we don&#39;t start now, when will we?"
59,blue,2023-05-11T06:46:02Z,2023-05-11T06:46:02Z,0,"Climate change <br>Climate change is a global issue and we must work together to save our world but what exactly is climate change  our planet&#39;s climate has changed throughout history  alternating ice ages and warmer periods earth has been through at least  5 Major ice ages with the last one ending  12,000 years ago so if the climate has always changed  why is climate change such a big issue today?  Since the start of the industrial revolution in 1760 earths average has risen  faster than ever before this effect is known as global warming and it&#39;s caused by the increase of green house immersion(?)  from human activity  GREENHOUSE GASES occur naturally on our planet but human activities  such as the burning of fossil fuels, agriculture, deforestation  and the decomposition of waste in landfills have increased  the amount of green house gases dramatically  green house gases act like a blanket around earth trapping the heat from the Sun&#39;s rays  this is called the green house effect  thanks to this effect  earth has just the right  temperature  for life to thrive on it unlike other planets in our solar system  however if the greenhouse effect becomes too strong it starts to cause issues  the increased  temperatures we are experiencing now are causing ice in the artic and Antarctica  as well as glaciers and snow around the world  to melt the water created by the melting ice pours into the oceans causing sea levels to rise this puts all islands in danger of disappearing  especially those in the Pacific and Caribbean ranges rising sea  levels  are also causing devastating floods in countries like China, indonesia,philippines, malaysia, and thailand not only are these floods a direct Hazzard  to humans but can also destroy crops and farms used to feed the population another effect  of the rising temperatures is that oceans warm up and evaporate faster than normal increasing the occurrence of severe storms and heavy rainfall global warming is making weather more  extreme  bringing longer droughts and heatwaves the loss of soil moisture  and the high temperatures increase the risks of wildfire too the high temperatures on both land and in our oceans  effect  earths delicate ecosystems many animals are forced to migrate  to other areas to survive  while others are  loosing their habits and dying  so can we do anything  to stop the effects of climate change  climate change has already reached a point that humanity has never experienceed before  however  the future of our planet  is in our hands communities must make smart choices and tackle this issue with  environmentally friendly actions  some solutions to limit global warming  include : switching from burning  fossil fuels to renewable and Greener energy  sources  like solar hydroelectric or wind energy  reducing the emissions  caused by  industryof transportation by investing into greener technology and limiting the deforestation of land and investing in more space efficient forms of agriculture  like vertical farming  these are all big solutions but there are also smaller things that you could easily do at home for example  recycling , composting your organic waste eating more vegetables and fruits and fewer meat and dairy products saving electricity and buying things that last longer or that can be reused people around the world are working together  to innovate engineer  and develop solutions for the issue of climate change <br>Bhutan  is the world&#39;s most  carbon-negative  country  Costa Rica  has achieved 99% renewable energy  and now China is the world leader in wind power  climate change is a global issue and our future depends on the actions we take today"
60,J F,2023-05-09T21:27:37Z,2023-05-09T21:27:37Z,0,"The problem has been well known for at least 20 years now and yet it remains largely unaddressed in most parts of the world. The explosive population growth along with the increased demand for energy consumption has not been the least affected by western world campaigns and switching to electric cars is not going to save earth, or the human species. There are still entire continents where the word pollution remains more or less an unknown, so unless the whole world &#39;lifts together&#39; we reman doomed."
61,Pontsho Priscilla,2023-05-07T20:34:30Z,2023-05-07T20:34:30Z,2,Very helpful ❤. Currently studying for my test. I&#39;m a marine biology student.
62,The People Place and Nature Podcast,2023-05-03T07:30:21Z,2023-05-03T07:30:21Z,4,"It&#39;s crucial that we take action to mitigate the effects of climate change, whether it&#39;s through reducing our carbon emissions, promoting renewable energy, or advocating for policy changes.❤"
63,Virendrasinh Chudasama,2023-05-02T07:27:34Z,2023-05-02T07:27:34Z,0,Plastic pollution
64,King Akinmarin,2023-05-01T22:12:52Z,2023-05-01T22:12:52Z,1,"This is the best explanation on this video, thank you very much"
65,Bricelegend Nducho,2023-04-27T18:02:57Z,2023-04-27T18:02:57Z,0,Thank you
